model,train_rows,eval_rows,accuracy,f1,precision,recall
2016_only,1578451,1623076,0.7790202060778423,0.7159876375551626,0.6902772285391031,0.7436873879357142
2017_2018_only,3224775,1623076,0.8110914091515123,0.7398950632208041,0.763881274139728,0.7173693474362981
2017_2018_plus_10pct_2016_anchor,3382619,1623076,0.8111628783864712,0.7400468344349292,0.7638710151854984,0.7176637989176029
2016_2018_expanding,4803226,1623076,0.8111499399904872,0.7377955935137946,0.7685753189305179,0.7093862578342189
