model,l1_distance_from_2016,top_feature,top_feature_importance
2016_only,0.0,SCHL,0.24426928162574768
2017_2018_only,0.0702667087316513,SCHL,0.241569384932518
2017_2018_plus_10pct_2016_anchor,0.07775659114122391,SCHL,0.2501309812068939
2016_2018_expanding,0.07476752996444702,SCHL,0.23570509254932404
