drift_mode,strategy,batch,model_version,accuracy,f1,precision,recall,drift_severity,drift_flags,concept_drift,retrained,train_duration,inference_time,policy_reason
full_with_label_flips,Static,batch_5,v1,0.7876,0.7151287553648069,0.6735725113693785,0.7621497998856489,0.3846782817151344,3,False,False,0.0,0.04774188995361328,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_6,v1,0.754,0.6392961876832844,0.6622114216281896,0.6179138321995464,0.5519390161488474,1,True,False,0.0,0.03306388854980469,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_7,v1,0.7232,0.6991304347826087,0.5881492318946598,0.8617363344051447,0.5129829085214118,4,False,False,0.0,0.03678536415100098,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_8,v1,0.6642,0.629768467475193,0.5267428992991516,0.7828947368421053,0.4139079808095679,3,True,False,0.0,0.031325578689575195,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_9,v1,0.7416,0.6528747984954326,0.6374606505771249,0.6690528634361234,0.5062434780688208,3,True,False,0.0,0.048514604568481445,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_10,v1,0.6856,0.6529801324503312,0.5549718574108818,0.793029490616622,0.4997186708912031,4,True,False,0.0,0.040345191955566406,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_11,v1,0.6602,0.6182880251628847,0.5320959010054138,0.7378016085790885,0.506691468155304,4,True,False,0.0,0.04967141151428223,All conditions met. Triggering retrain.
full_with_label_flips,Static,batch_12,v1,0.6128,0.584192439862543,0.5112781954887218,0.6813627254509018,0.5168867498697738,4,True,False,0.0,0.049308061599731445,All conditions met. Triggering retrain.
full_with_label_flips,Policy-CurrentAnchor,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.07559776306152344,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
full_with_label_flips,Policy-CurrentAnchor,batch_2,v1,0.8132,0.7455040871934605,0.7331189710610932,0.7583148558758315,0.4482259194134601,2,False,False,0.0,0.03288602828979492,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2"
full_with_label_flips,Policy-CurrentAnchor,batch_3,v2,0.7546,0.6534877153346512,0.6715031921067904,0.6364136413641364,0.3778355646666239,2,True,True,1.9471156597137451,0.05323052406311035,All conditions met. Triggering retrain.
full_with_label_flips,Policy-CurrentAnchor,batch_4,v2,0.7664,0.6630121177149452,0.697632058287796,0.6316657504123144,0.5519869374778734,1,True,False,0.0,0.030140161514282227,Persistence (1) < 2 | Cooldown (0) < 1
full_with_label_flips,Policy-CurrentAnchor,batch_5,v3,0.787,0.7137866165009407,0.6734279918864098,0.7592910234419669,0.3810190643694837,3,False,True,1.7340846061706543,0.03534674644470215,All conditions met. Triggering retrain.
full_with_label_flips,Policy-CurrentAnchor,batch_6,v3,0.7568,0.6395969176052163,0.6701863354037267,0.6116780045351474,0.0,0,True,False,0.0,0.028060197830200195,Severity (0.0000) < 0.1 | Persistence (1) < 2 | Cooldown (0) < 1
full_with_label_flips,Policy-CurrentAnchor,batch_7,v4,0.7382,0.7098204389270671,0.6052930056710775,0.8579849946409432,0.5110641211061888,4,False,True,1.711869239807129,0.028130292892456055,All conditions met. Triggering retrain.
